
running radau5.f test
step =     1, newt =     1, ldw =  5.713237318584357E-06, h =  1.000000000000000E-06
step =    35, newt =     3, ldw =  2.888189217893338E-02, h =  1.821592603516536E-08
step =    36, newt =     1, ldw =  1.974934301938218E+00, h =  1.064267467483143E-08
step =    36, newt =     2, ldw =  2.007230940773211E-01, h =  1.064267467483143E-08
step =    37, newt =     1, ldw =  2.544263026665214E+00, h =  7.252120971213548E-09
step =    37, newt =     2, ldw =  2.799854451453948E-01, h =  7.252120971213548E-09
step =    37, newt =     3, ldw =  2.529667157039526E-02, h =  7.252120971213548E-09
step =    38, newt =     1, ldw =  2.484914027510850E+00, h =  4.492688244087684E-09
step =    38, newt =     2, ldw =  2.427564460395474E-01, h =  4.492688244087684E-09
step =    39, newt =     1, ldw =  2.762475172054663E+00, h =  3.002198771243084E-09
step =    39, newt =     2, ldw =  2.706279629982239E-01, h =  3.002198771243084E-09
step =    40, newt =     1, ldw =  2.832273398000657E+00, h =  1.966022679406377E-09
step =    40, newt =     2, ldw =  2.661076871356216E-01, h =  1.966022679406377E-09
step =    41, newt =     1, ldw =  2.853974292080237E+00, h =  1.306256884917544E-09
step =    41, newt =     2, ldw =  2.623089508887610E-01, h =  1.306256884917544E-09
step =    42, newt =     1, ldw =  2.900221148544711E+00, h =  8.768185854279031E-10
step =    42, newt =     2, ldw =  2.645550255945693E-01, h =  8.768185854279031E-10
step =    43, newt =     1, ldw =  2.934290654569171E+00, h =  5.897332567146582E-10
step =    43, newt =     2, ldw =  2.657094886185315E-01, h =  5.897332567146582E-10
step =    44, newt =     1, ldw =  2.953465450781620E+00, h =  3.974627531186378E-10
step =    44, newt =     2, ldw =  2.659039432931001E-01, h =  3.974627531186378E-10
step =    45, newt =     1, ldw =  2.967376833073354E+00, h =  2.684253824106721E-10
step =    45, newt =     2, ldw =  2.662287390418155E-01, h =  2.684253824106721E-10
step =    46, newt =     1, ldw =  2.977634165887978E+00, h =  1.814947218386549E-10
step =    46, newt =     2, ldw =  2.665336147108092E-01, h =  1.814947218386549E-10
step =    47, newt =     1, ldw =  2.984551675772167E+00, h =  1.228071769278898E-10
step =    47, newt =     2, ldw =  2.667153165467080E-01, h =  1.228071769278898E-10
step =    48, newt =     1, ldw =  2.989280122848438E+00, h =  8.314080980760846E-11
step =    48, newt =     2, ldw =  2.668369994801806E-01, h =  8.314080980760846E-11
step =    49, newt =     1, ldw =  2.992669984273070E+00, h =  5.630670969181890E-11
step =    49, newt =     2, ldw =  2.669269649891330E-01, h =  5.630670969181890E-11
step =    50, newt =     1, ldw =  2.995292844073978E+00, h =  3.814200296721970E-11
step =    50, newt =     2, ldw =  2.669914052700605E-01, h =  3.814200296721970E-11
step =    51, newt =     1, ldw =  2.997810990259810E+00, h =  2.584044664393496E-11
step =    51, newt =     2, ldw =  2.670434656886297E-01, h =  2.584044664393496E-11
step =    52, newt =     1, ldw =  3.001360575312002E+00, h =  1.750657207722925E-11
step =    52, newt =     2, ldw =  2.671084029477461E-01, h =  1.750657207722925E-11
step =    53, newt =     1, ldw =  3.008648835564353E+00, h =  1.185832044460369E-11
step =    53, newt =     2, ldw =  2.672585670643872E-01, h =  1.185832044460369E-11
step =    54, newt =     1, ldw =  3.027838574045401E+00, h =  8.027174893536473E-12
step =    54, newt =     2, ldw =  2.677764060377021E-01, h =  8.027174893536473E-12
step =    55, newt =     1, ldw =  3.088821934694739E+00, h =  5.422524811173549E-12
step =    55, newt =     2, ldw =  2.699543206915546E-01, h =  5.422524811173549E-12
step =    56, newt =     1, ldw =  3.328302464383194E+00, h =  3.636640310811574E-12
step =    56, newt =     2, ldw =  2.806136775272576E-01, h =  3.636640310811574E-12
step =    57, newt =     1, ldw =  2.862338196072172E+00, h =  2.368371140003442E-12
step =    57, newt =     2, ldw =  2.124778328093391E-01, h =  2.368371140003442E-12
step =    58, newt =     1, ldw =  3.019918842202491E+00, h =  1.708696809930333E-12
step =    58, newt =     2, ldw =  2.436480743437542E-01, h =  1.708696809930333E-12
step =    59, newt =     1, ldw =  3.165015855817321E+00, h =  1.188301059887269E-12
step =    59, newt =     2, ldw =  2.592082896010620E-01, h =  1.188301059887269E-12
step =    60, newt =     1, ldw =  3.137748677178956E+00, h =  8.144089923077925E-13
step =    60, newt =     2, ldw =  2.536406296256570E-01, h =  8.144089923077925E-13
step =    61, newt =     1, ldw =  3.123456848139974E+00, h =  5.618734579145754E-13
step =    61, newt =     2, ldw =  2.524646503416266E-01, h =  5.618734579145754E-13
step =    62, newt =     1, ldw =  3.128709160780355E+00, h =  3.879922829194020E-13
step =    62, newt =     2, ldw =  2.532954494340044E-01, h =  3.879922829194020E-13
step =    63, newt =     1, ldw =  3.129766416817052E+00, h =  2.676725339605763E-13
step =    63, newt =     2, ldw =  2.533279713103022E-01, h =  2.676725339605763E-13
step =    64, newt =     1, ldw =  3.128995216959003E+00, h =  1.846680970652057E-13
step =    64, newt =     2, ldw =  2.532222899653750E-01, h =  1.846680970652057E-13
step =    65, newt =     1, ldw =  3.128977990148663E+00, h =  1.274173745839448E-13
step =    65, newt =     2, ldw =  2.532326447026258E-01, h =  1.274173745839448E-13
step =    66, newt =     1, ldw =  3.129080262268820E+00, h =  8.791404984166864E-14
step =    66, newt =     2, ldw =  2.532442627194222E-01, h =  8.791404984166864E-14
step =    67, newt =     1, ldw =  3.129072668136896E+00, h =  6.065730744795438E-14
step =    67, newt =     2, ldw =  2.532415141789461E-01, h =  6.065730744795438E-14
step =    68, newt =     1, ldw =  3.129063972922062E+00, h =  4.185136430614088E-14
step =    68, newt =     2, ldw =  2.532405151537980E-01, h =  4.185136430614088E-14
step =    69, newt =     1, ldw =  3.129067978300279E+00, h =  2.887596914831532E-14
step =    69, newt =     2, ldw =  2.532410196357864E-01, h =  2.887596914831532E-14
step =    70, newt =     1, ldw =  3.129069822180670E+00, h =  1.992339383395278E-14
step =    70, newt =     2, ldw =  2.532410980893514E-01, h =  1.992339383395278E-14
step =    71, newt =     1, ldw =  3.129069996401301E+00, h =  1.374643509878522E-14
step =    71, newt =     2, ldw =  2.532410426436404E-01, h =  1.374643509878522E-14
step =    72, newt =     1, ldw =  3.129070376127181E+00, h =  9.484553811443425E-15
step =    72, newt =     2, ldw =  2.532410519957973E-01, h =  9.484553811443425E-15
step =    73, newt =     1, ldw =  3.129070737373610E+00, h =  6.544006710779086E-15
step =    73, newt =     2, ldw =  2.532410654413833E-01, h =  6.544006710779086E-15
step =    74, newt =     1, ldw =  3.129070941638575E+00, h =  4.515133270921864E-15
step =    74, newt =     2, ldw =  2.532410679690361E-01, h =  4.515133270921864E-15
step =    75, newt =     1, ldw =  3.129071076495257E+00, h =  3.115282382403675E-15
step =    75, newt =     2, ldw =  2.532410697645263E-01, h =  3.115282382403675E-15
step =    76, newt =     1, ldw =  3.129071175851432E+00, h =  2.149434768446396E-15
step =    76, newt =     2, ldw =  2.532410718204264E-01, h =  2.149434768446396E-15
step =    77, newt =     1, ldw =  3.129071244302047E+00, h =  1.483034052913010E-15
step =    77, newt =     2, ldw =  2.532410731231322E-01, h =  1.483034052913010E-15
step =    78, newt =     1, ldw =  3.129071290775475E+00, h =  1.023241107773565E-15
step =    78, newt =     2, ldw =  2.532410739377414E-01, h =  1.023241107773565E-15
ERROR: THE STEPSIZE BECOMES TOO SMALL
Radau5: Radau method (Radau IIA) (implicit, order 5, embedded)
Number of function evaluations   = 542
Number of Jacobian evaluations   = 61
Number of factorizations         = 77
Number of lin sys solutions      = 159
Number of performed steps        = 79
Number of accepted steps         = 63
Number of rejected steps         = 4
Number of iterations (maximum)   = 4
y = -4.883696833176666E+03 -1.464431899711471E+07  1.464920369394789E+07
h =  7.060002205795461E-16
