
running dopri5.f test
step(A) =    1, err =  1.296464663661232E-04, h_new =  2.851498799828624E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   57, err =  2.791391843519196E-01, h_new =  7.519293343154304E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   58, err =  2.683971735131291E-01, h_new =  8.041926880782167E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   59, err =  2.581463156609763E-01, h_new =  8.644433520816096E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   60, err =  2.499502450561518E-01, h_new =  9.328645272242231E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   61, err =  2.455448506324762E-01, h_new =  1.008446794691735E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   62, err =  2.458366585290539E-01, h_new =  1.089157792612123E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   63, err =  2.514770032139527E-01, h_new =  1.171856602583296E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   64, err =  2.624735247662983E-01, h_new =  1.252830668842625E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   65, err =  2.779076268527033E-01, h_new =  1.328725368021894E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   66, err =  2.956697986365311E-01, h_new =  1.397644019645542E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   67, err =  2.887912364348064E-01, h_new =  1.479694559118314E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   68, err =  2.893388996943028E-01, h_new =  1.564583645902221E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   69, err =  2.976619060082398E-01, h_new =  1.646510918290760E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   70, err =  3.106968255117830E-01, h_new =  1.722101702134755E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   71, err =  3.367687753502823E-01, h_new =  1.779706428153806E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   72, err =  3.864259984727088E-01, h_new =  1.802531545106097E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   73, err =  4.537563399690108E-01, h_new =  1.786274410422178E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   74, err =  5.117370090190735E-01, h_new =  1.745523233926182E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   75, err =  5.435151838740435E-01, h_new =  1.696461587902954E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   76, err =  5.669452536001536E-01, h_new =  1.640941188728515E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   77, err =  5.865556442105303E-01, h_new =  1.580755143224618E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   78, err =  6.130968712564684E-01, h_new =  1.513420229324444E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   79, err =  6.506815514632983E-01, h_new =  1.436913298844803E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   80, err =  7.015363880645173E-01, h_new =  1.350141476443922E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   81, err =  7.192280373074790E-01, h_new =  1.267057935032376E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   82, err =  7.008369338083363E-01, h_new =  1.195525269424596E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   83, err =  7.283986596946883E-01, h_new =  1.119497673305478E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   84, err =  7.435047659544324E-01, h_new =  1.046266286989278E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   85, err =  7.568229179243304E-01, h_new =  9.756792404896651E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   86, err =  7.616522238862367E-01, h_new =  9.095167541431626E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   87, err =  7.707728197331979E-01, h_new =  8.463421980695239E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   88, err =  7.981918259589843E-01, h_new =  7.832624797386101E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   89, err =  8.230117231601290E-01, h_new =  7.221295219024462E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   90, err =  7.851702623226555E-01, h_new =  6.719392296127329E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   91, err =  6.997284567643505E-01, h_new =  6.364042028409270E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   92, err =  5.918024978032125E-01, h_new =  6.173090941701424E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   93, err =  4.899521996029822E-01, h_new =  6.141947858481472E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   94, err =  4.052105891379512E-01, h_new =  6.263961063540265E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   95, err =  3.409407803907692E-01, h_new =  6.528950391335049E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   96, err =  2.982438894043942E-01, h_new =  6.913785030816562E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   97, err =  2.689044941720832E-01, h_new =  7.411559052967935E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   98, err =  2.666962225628043E-01, h_new =  7.923428407383011E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   99, err =  2.744209024757484E-01, h_new =  8.426852653619575E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  100, err =  2.775707991805772E-01, h_new =  8.955112689050265E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  101, err =  2.751111676416165E-01, h_new =  9.535250751844487E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  102, err =  2.716483607638056E-01, h_new =  1.017123647474220E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  103, err =  2.706064173222094E-01, h_new =  1.085123250237267E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  104, err =  2.743806133543793E-01, h_new =  1.154768743525360E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  105, err =  2.838995836842110E-01, h_new =  1.222457186728658E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  106, err =  2.989933096025295E-01, h_new =  1.284518335171625E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  107, err =  3.182974395281981E-01, h_new =  1.338220385572336E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  108, err =  2.884695079998747E-01, h_new =  1.421236954194553E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  109, err =  2.979575067144381E-01, h_new =  1.495225726777838E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  110, err =  3.044004483786207E-01, h_new =  1.569385893645763E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  111, err =  3.175699202861367E-01, h_new =  1.636806625816022E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  112, err =  3.334744125332794E-01, h_new =  1.695871065775893E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  113, err =  3.592470455679707E-01, h_new =  1.738365105361087E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  114, err =  3.994700220723698E-01, h_new =  1.755282085570384E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  115, err =  4.503645539387915E-01, h_new =  1.743985554337888E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  116, err =  4.353794119248903E-01, h_new =  1.751138191043228E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  117, err =  4.495025641854031E-01, h_new =  1.746438011362627E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  118, err =  4.800675473286704E-01, h_new =  1.724580901865473E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  119, err =  5.192798908156856E-01, h_new =  1.684844870093419E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  120, err =  5.610233910470050E-01, h_new =  1.629640183319557E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  121, err =  6.069521654104935E-01, h_new =  1.560117160791368E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  122, err =  6.614819642548416E-01, h_new =  1.476514923263645E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  123, err =  7.020583780421905E-01, h_new =  1.388089988852410E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  124, err =  6.395304860165552E-01, h_new =  1.328980619568514E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  125, err =  6.702741907409688E-01, h_new =  1.257571489055614E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  126, err =  6.902292948802367E-01, h_new =  1.186305150973436E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  127, err =  7.182825821575747E-01, h_new =  1.112829049628937E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  128, err =  7.378581845285024E-01, h_new =  1.040800240994675E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  129, err =  7.547839822561961E-01, h_new =  9.707311247827066E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  130, err =  7.763173587108884E-01, h_new =  9.018777873004002E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  131, err =  8.254682824770661E-01, h_new =  8.301426088989558E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  132, err =  8.791147117858668E-01, h_new =  7.578364457695930E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  133, err =  8.418055290902556E-01, h_new =  6.987049455327099E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  134, err =  7.431142213472319E-01, h_new =  6.568487084473679E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  135, err =  6.181896712669877E-01, h_new =  6.339563934648536E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  136, err =  5.075969074956047E-01, h_new =  6.280707103000815E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  137, err =  4.172546513094464E-01, h_new =  6.382687875936725E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  138, err =  3.483078294621114E-01, h_new =  6.636336725379821E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  139, err =  3.010852712643283E-01, h_new =  7.022184500813025E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  140, err =  2.808674015750031E-01, h_new =  7.475101578197800E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  141, err =  2.868667017543144E-01, h_new =  7.906677730463846E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  142, err =  2.980642184672669E-01, h_new =  8.315934870017505E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  143, err =  2.990687473972181E-01, h_new =  8.754773347159456E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  144, err =  2.928980297893877E-01, h_new =  9.250739708808453E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  145, err =  2.853741410135108E-01, h_new =  9.809957903910806E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  146, err =  2.805481509945272E-01, h_new =  1.042233379264539E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  147, err =  2.805394625089158E-01, h_new =  1.106544313340334E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  148, err =  2.866652119983522E-01, h_new =  1.170515933171230E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  149, err =  2.870276167115361E-01, h_new =  1.238990032185425E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  150, err =  2.681531404857602E-01, h_new =  1.326789965786301E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  151, err =  2.797067298974354E-01, h_new =  1.406826393841818E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  152, err =  2.913677346893253E-01, h_new =  1.483870790397390E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  153, err =  3.079613533561383E-01, h_new =  1.553001575680898E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  154, err =  3.223789688982560E-01, h_new =  1.616337002478366E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  155, err =  3.348488377520902E-01, h_new =  1.674498633570139E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  156, err =  3.466602484426959E-01, h_new =  1.727179884169247E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  157, err =  3.580837691970113E-01, h_new =  1.774184800533004E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  158, err =  3.849741152991009E-01, h_new =  1.802508781388363E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  159, err =  4.355693118006662E-01, h_new =  1.798446086953359E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  160, err =  5.023688043195735E-01, h_new =  1.760063638759287E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  161, err =  5.674041009711825E-01, h_new =  1.696875842580092E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  162, err =  6.275729214637876E-01, h_new =  1.616014903887843E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  163, err =  6.915375823599209E-01, h_new =  1.519937588087116E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  164, err =  6.892316826976499E-01, h_new =  1.435948309126776E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  165, err =  6.867369911173770E-01, h_new =  1.357255312759619E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  166, err =  7.170377744508504E-01, h_new =  1.273308186705722E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  167, err =  7.540841686062617E-01, h_new =  1.186414244340852E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  168, err =  7.982647916847645E-01, h_new =  1.097010208318843E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  169, err =  8.429340990295561E-01, h_new =  1.007289116506638E-01, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  170, err =  8.793984872403370E-01, h_new =  9.202733052912539E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  171, err =  8.904399702437803E-01, h_new =  8.404153431859546E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  172, err =  8.675898143142085E-01, h_new =  7.712713733046735E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  173, err =  8.376857729061897E-01, h_new =  7.113093309192865E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  174, err =  8.306879764040176E-01, h_new =  6.560241295295702E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  175, err =  8.296491094722633E-01, h_new =  6.049615647598559E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  176, err =  7.401106964358213E-01, h_new =  5.687817263798044E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  177, err =  6.321875894827998E-01, h_new =  5.467845033567713E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  178, err =  5.239426779364365E-01, h_new =  5.392799871644553E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  179, err =  4.344886608158758E-01, h_new =  5.449690372804437E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  180, err =  3.661787487883571E-01, h_new =  5.627372221352843E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  181, err =  3.213054409690154E-01, h_new =  5.900921044448668E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  182, err =  3.029053112884786E-01, h_new =  6.217515338126513E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  183, err =  3.057263615729944E-01, h_new =  6.525368758773174E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  184, err =  3.140701336558686E-01, h_new =  6.819717041695036E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  185, err =  3.152411735724601E-01, h_new =  7.130510628866499E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  186, err =  3.125975598734951E-01, h_new =  7.467260620561361E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  187, err =  3.152321842637002E-01, h_new =  7.806134830487207E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  188, err =  3.488908379364377E-01, h_new =  8.023549823559063E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  189, err =  5.062804987145757E-01, h_new =  7.772668433096575E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  190, err =  9.592414745094958E-01, h_new =  6.855838020796694E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  191, err =  1.807186460141171E+00, h_new =  5.579721900209573E-02
step(A) =  192, err =  5.340526023509135E-01, h_new =  5.577542587476984E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  193, err =  2.167530620096461E+00, h_new =  4.401202119643443E-02
step(A) =  194, err =  5.287816011810852E-01, h_new =  4.304871647979079E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  195, err =  2.025260824778042E+00, h_new =  3.436378183295545E-02
step(A) =  196, err =  5.289129234440509E-01, h_new =  3.359689991687961E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  197, err =  1.989732482689969E+00, h_new =  2.689964928699729E-02
