
running 1 test
step =     1, newt =     1, ldw =  5.713237318584358E-06, h =  1.000000000000000E-06
step =    26, newt =     2, ldw =  6.814228580930575E-01, h =  3.086307641888090E-07
step =    26, newt =     3, ldw =  2.349473133392905E-01, h =  3.086307641888090E-07
step =    26, newt =     4, ldw =  5.210824005193573E-02, h =  3.086307641888090E-07
step =    27, newt =     1, ldw =  3.799990706196685E-01, h =  2.084878525702729E-07
step =    27, newt =     2, ldw =  5.457815644145110E-02, h =  2.084878525702729E-07
step =    28, newt =     1, ldw =  2.024286080691704E+00, h =  1.798336446925473E-07
step =    28, newt =     2, ldw =  7.826846013238703E-01, h =  1.798336446925473E-07
step =    28, newt =     3, ldw =  2.353500555876765E-01, h =  1.798336446925473E-07
step =    28, newt =     4, ldw =  4.530280230803961E-02, h =  1.798336446925473E-07
step =    29, newt =     1, ldw =  4.856578888358377E-01, h =  1.184950959010905E-07
step =    29, newt =     2, ldw =  5.712671517944685E-02, h =  1.184950959010905E-07
step =    30, newt =     1, ldw =  1.965058780039117E+00, h =  1.031979132281593E-07
step =    30, newt =     2, ldw =  5.583839432557870E-01, h =  1.031979132281593E-07
step =    30, newt =     3, ldw =  1.227945951998831E-01, h =  1.031979132281593E-07
step =    30, newt =     4, ldw =  1.725700354356943E-02, h =  1.031979132281593E-07
step =    31, newt =     1, ldw =  6.332650257065936E-01, h =  7.415329799992940E-08
step =    31, newt =     2, ldw =  7.159185196401813E-02, h =  7.415329799992940E-08
step =    32, newt =     1, ldw =  2.182971710342156E+00, h =  6.216749326865212E-08
step =    32, newt =     2, ldw =  5.107019542360752E-01, h =  6.216749326865212E-08
step =    32, newt =     3, ldw =  9.305787270527494E-02, h =  6.216749326865212E-08
step =    33, newt =     1, ldw =  9.301678867338103E-01, h =  4.843179381465524E-08
step =    33, newt =     2, ldw =  1.091900273355139E-01, h =  4.843179381465524E-08
step =    34, newt =     1, ldw =  2.318363930695775E+00, h =  3.670453510967734E-08
step =    34, newt =     2, ldw =  4.305895750391350E-01, h =  3.670453510967734E-08
step =    34, newt =     3, ldw =  6.362288571033180E-02, h =  3.670453510967734E-08
step =    35, newt =     1, ldw =  2.247998360578580E+00, h =  1.821592603741297E-08
step =    35, newt =     2, ldw =  2.775654255533950E-01, h =  1.821592603741297E-08
step =    35, newt =     3, ldw =  2.888189218016722E-02, h =  1.821592603741297E-08
step =    36, newt =     1, ldw =  1.974934301863113E+00, h =  1.064267467598590E-08
step =    36, newt =     2, ldw =  2.007230940703124E-01, h =  1.064267467598590E-08
step =    37, newt =     1, ldw =  2.544263026625782E+00, h =  7.252120972034658E-09
step =    37, newt =     2, ldw =  2.799854451462886E-01, h =  7.252120972034658E-09
step =    37, newt =     3, ldw =  2.529667157091523E-02, h =  7.252120972034658E-09
step =    38, newt =     1, ldw =  2.484914027494926E+00, h =  4.492688244570796E-09
step =    38, newt =     2, ldw =  2.427564460412156E-01, h =  4.492688244570796E-09
step =    39, newt =     1, ldw =  2.762475172033403E+00, h =  3.002198771549832E-09
step =    39, newt =     2, ldw =  2.706279629978121E-01, h =  3.002198771549832E-09
step =    40, newt =     1, ldw =  2.832273397983148E+00, h =  1.966022679603298E-09
step =    40, newt =     2, ldw =  2.661076871352192E-01, h =  1.966022679603298E-09
step =    41, newt =     1, ldw =  2.853974292068733E+00, h =  1.306256885046503E-09
step =    41, newt =     2, ldw =  2.623089508885884E-01, h =  1.306256885046503E-09
step =    42, newt =     1, ldw =  2.900221148536593E+00, h =  8.768185855134607E-10
step =    42, newt =     2, ldw =  2.645550255944251E-01, h =  8.768185855134607E-10
step =    43, newt =     1, ldw =  2.934290654563067E+00, h =  5.897332567717323E-10
step =    43, newt =     2, ldw =  2.657094886183935E-01, h =  5.897332567717323E-10
step =    44, newt =     1, ldw =  2.953465450777375E+00, h =  3.974627531569095E-10
step =    44, newt =     2, ldw =  2.659039432929809E-01, h =  3.974627531569095E-10
step =    45, newt =     1, ldw =  2.967376833070540E+00, h =  2.684253824364300E-10
step =    45, newt =     2, ldw =  2.662287390417422E-01, h =  2.684253824364300E-10
step =    46, newt =     1, ldw =  2.977634165886050E+00, h =  1.814947218560266E-10
step =    46, newt =     2, ldw =  2.665336147107780E-01, h =  1.814947218560266E-10
step =    47, newt =     1, ldw =  2.984551675770700E+00, h =  1.228071769396238E-10
step =    47, newt =     2, ldw =  2.667153165466565E-01, h =  1.228071769396238E-10
step =    48, newt =     1, ldw =  2.989280122847388E+00, h =  8.314080981554411E-11
step =    48, newt =     2, ldw =  2.668369994801637E-01, h =  8.314080981554411E-11
step =    49, newt =     1, ldw =  2.992669984272221E+00, h =  5.630670969718946E-11
step =    49, newt =     2, ldw =  2.669269649891055E-01, h =  5.630670969718946E-11
step =    50, newt =     1, ldw =  2.995292844073223E+00, h =  3.814200297085605E-11
step =    50, newt =     2, ldw =  2.669914052700305E-01, h =  3.814200297085605E-11
step =    51, newt =     1, ldw =  2.997810990259253E+00, h =  2.584044664639865E-11
step =    51, newt =     2, ldw =  2.670434656886391E-01, h =  2.584044664639865E-11
step =    52, newt =     1, ldw =  3.001360575310683E+00, h =  1.750657207889799E-11
step =    52, newt =     2, ldw =  2.671084029476940E-01, h =  1.750657207889799E-11
step =    53, newt =     1, ldw =  3.008648835561798E+00, h =  1.185832044573550E-11
step =    53, newt =     2, ldw =  2.672585670643604E-01, h =  1.185832044573550E-11
step =    54, newt =     1, ldw =  3.027838574037472E+00, h =  8.027174894304359E-12
step =    54, newt =     2, ldw =  2.677764060374220E-01, h =  8.027174894304359E-12
step =    55, newt =     1, ldw =  3.088821934668522E+00, h =  5.422524811697307E-12
step =    55, newt =     2, ldw =  2.699543206905203E-01, h =  5.422524811697307E-12
step =    56, newt =     1, ldw =  3.328302464269586E+00, h =  3.636640311174440E-12
step =    56, newt =     2, ldw =  2.806136775219398E-01, h =  3.636640311174440E-12
step =    57, newt =     1, ldw =  2.862338196292765E+00, h =  2.368371140272361E-12
step =    57, newt =     2, ldw =  2.124778328378240E-01, h =  2.368371140272361E-12
step =    58, newt =     1, ldw =  3.019918842078330E+00, h =  1.708696810038368E-12
step =    58, newt =     2, ldw =  2.436480743217157E-01, h =  1.708696810038368E-12
step =    59, newt =     1, ldw =  3.165015855773361E+00, h =  1.188301059994388E-12
step =    59, newt =     2, ldw =  2.592082895982138E-01, h =  1.188301059994388E-12
step =    60, newt =     1, ldw =  3.137748677200451E+00, h =  8.144089923824477E-13
step =    60, newt =     2, ldw =  2.536406296288061E-01, h =  8.144089923824477E-13
step =    61, newt =     1, ldw =  3.123456848142392E+00, h =  5.618734579641469E-13
step =    61, newt =     2, ldw =  2.524646503415428E-01, h =  5.618734579641469E-13
step =    62, newt =     1, ldw =  3.128709160777779E+00, h =  3.879922829537460E-13
step =    62, newt =     2, ldw =  2.532954494336762E-01, h =  3.879922829537460E-13
step =    63, newt =     1, ldw =  3.129766416816868E+00, h =  2.676725339843544E-13
step =    63, newt =     2, ldw =  2.533279713103440E-01, h =  2.676725339843544E-13
step =    64, newt =     1, ldw =  3.128995216959199E+00, h =  1.846680970816026E-13
step =    64, newt =     2, ldw =  2.532222899654013E-01, h =  1.846680970816026E-13
step =    65, newt =     1, ldw =  3.128977990148831E+00, h =  1.274173745952554E-13
step =    65, newt =     2, ldw =  2.532326447026642E-01, h =  1.274173745952554E-13
step =    66, newt =     1, ldw =  3.129080262268600E+00, h =  8.791404984946950E-14
step =    66, newt =     2, ldw =  2.532442627193796E-01, h =  8.791404984946950E-14
step =    67, newt =     1, ldw =  3.129072668137014E+00, h =  6.065730745333961E-14
step =    67, newt =     2, ldw =  2.532415141789559E-01, h =  6.065730745333961E-14
step =    68, newt =     1, ldw =  3.129063972922112E+00, h =  4.185136430985568E-14
step =    68, newt =     2, ldw =  2.532405151538102E-01, h =  4.185136430985568E-14
step =    69, newt =     1, ldw =  3.129067978300174E+00, h =  2.887596915087791E-14
step =    69, newt =     2, ldw =  2.532410196357686E-01, h =  2.887596915087791E-14
step =    70, newt =     1, ldw =  3.129069822180785E+00, h =  1.992339383572132E-14
step =    70, newt =     2, ldw =  2.532410980893799E-01, h =  1.992339383572132E-14
step =    71, newt =     1, ldw =  3.129069996401156E+00, h =  1.374643510000513E-14
step =    71, newt =     2, ldw =  2.532410426436356E-01, h =  1.374643510000513E-14
step =    72, newt =     1, ldw =  3.129070376127277E+00, h =  9.484553812285281E-15
step =    72, newt =     2, ldw =  2.532410519958102E-01, h =  9.484553812285281E-15
step =    73, newt =     1, ldw =  3.129070737373394E+00, h =  6.544006711359746E-15
step =    73, newt =     2, ldw =  2.532410654413505E-01, h =  6.544006711359746E-15
step =    74, newt =     1, ldw =  3.129070941638619E+00, h =  4.515133271322660E-15
step =    74, newt =     2, ldw =  2.532410679690474E-01, h =  4.515133271322660E-15
step =    75, newt =     1, ldw =  3.129071076495209E+00, h =  3.115282382680138E-15
step =    75, newt =     2, ldw =  2.532410697645308E-01, h =  3.115282382680138E-15
ERROR: THE STEPSIZE BECOMES TOO SMALL
Radau5: Radau method (Radau IIA) (implicit, order 5, embedded)
Number of function evaluations   = 520
Number of Jacobian evaluations   = 57
Number of factorizations         = 75
Number of lin sys solutions      = 153
Number of performed steps        = 75
Number of accepted steps         = 60
Number of rejected steps         = 4
Number of iterations (maximum)   = 4
y = -1.603420554879705E+03 -4.810051809113435E+06
h =  2.149434768637158E-15
