
running dopri5.f test
step =   0, x = 0.00, y =  1.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
step =  37, x = 0.05, y =  9.981380818057181E-01  3.564257507991768E-05  1.826275619202148E-03
step =  38, x = 0.05, y =  9.980833632750575E-01  3.573476251246210E-05  1.880901962430118E-03
step =  39, x = 0.05, y =  9.980310891557052E-01  3.591869954465474E-05  1.932992144750282E-03
step =  40, x = 0.05, y =  9.979763758003092E-01  3.598266346006582E-05  1.987641536230835E-03
step =  41, x = 0.05, y =  9.979166394905993E-01  3.593676804222570E-05  2.047423741358542E-03
step =  42, x = 0.05, y =  9.978540603586120E-01  3.577268882247243E-05  2.110166952565604E-03
step =  43, x = 0.06, y =  9.977937701236000E-01  3.556718676090736E-05  2.170662689639153E-03
step =  44, x = 0.06, y =  9.977387760648037E-01  3.562827752358542E-05  2.225595657672884E-03
step =  45, x = 0.06, y =  9.976870123093106E-01  3.583862057393137E-05  2.277149070115597E-03
step =  46, x = 0.06, y =  9.976333003588078E-01  3.592370235803325E-05  2.330775938834186E-03
step =  47, x = 0.06, y =  9.975743025554227E-01  3.589149583235904E-05  2.389805948744990E-03
step =  48, x = 0.06, y =  9.975116583659726E-01  3.573641635810296E-05  2.452605217669379E-03
step =  49, x = 0.06, y =  9.974507186297914E-01  3.550004936006744E-05  2.513781320848560E-03
step =  50, x = 0.07, y =  9.973953078833825E-01  3.551677613649846E-05  2.569175340481060E-03
step =  51, x = 0.07, y =  9.973439483287758E-01  3.575296297362508E-05  2.620298708250597E-03
step =  52, x = 0.07, y =  9.972912643590470E-01  3.586264446920907E-05  2.672872996483775E-03
step =  53, x = 0.07, y =  9.972331410087697E-01  3.584506951958990E-05  2.731013921710733E-03
step =  54, x = 0.07, y =  9.971705591209902E-01  3.570275407376570E-05  2.793738124936041E-03
step =  55, x = 0.07, y =  9.971089530484245E-01  3.544286609974391E-05  2.855604085475740E-03
step =  56, x = 0.07, y =  9.970529828538903E-01  3.540190947099653E-05  2.911615236638702E-03
step =  57, x = 0.08, y =  9.970018850358552E-01  3.566008328223138E-05  2.962454880862659E-03
step =  58, x = 0.08, y =  9.969502310753264E-01  3.579886940034030E-05  3.013970055273340E-03
step =  59, x = 0.08, y =  9.968931246149383E-01  3.579709142593802E-05  3.071078293635937E-03
step =  60, x = 0.08, y =  9.968307693033621E-01  3.567074846522543E-05  3.133559948172775E-03
step =  61, x = 0.08, y =  9.967685106326952E-01  3.539728237773513E-05  3.196092084927122E-03
step =  62, x = 0.08, y =  9.967118314285525E-01  3.528675764206876E-05  3.252881813805498E-03
step =  63, x = 0.08, y =  9.966608202037924E-01  3.555810904175481E-05  3.303621687165857E-03
step =  64, x = 0.09, y =  9.966101642110686E-01  3.573160313980493E-05  3.354104185791664E-03
step =  65, x = 0.09, y =  9.965542139600752E-01  3.574719051117208E-05  3.410038849413741E-03
step =  66, x = 0.09, y =  9.964922793496079E-01  3.563908267378487E-05  3.472081567718367E-03
step =  67, x = 0.09, y =  9.964294238666042E-01  3.536348961369448E-05  3.535212643782179E-03
step =  68, x = 0.09, y =  9.963718950966219E-01  3.517624487435891E-05  3.592928658503755E-03
step =  69, x = 0.09, y =  9.963207701346511E-01  3.544535644530235E-05  3.643784508903634E-03
step =  70, x = 0.09, y =  9.962710360452792E-01  3.565995084799483E-05  3.693304003872908E-03
step =  71, x = 0.10, y =  9.962163615864394E-01  3.569503242429138E-05  3.747943381136406E-03
step =  72, x = 0.10, y =  9.961550672653940E-01  3.560650257426540E-05  3.809326232031822E-03
step =  73, x = 0.10, y =  9.960917191341748E-01  3.534029625262029E-05  3.872940569572661E-03
step =  74, x = 0.10, y =  9.960393213223385E-01  3.549145205791733E-05  3.925187225603691E-03
step =  75, x = 0.10, y =  9.959869518062422E-01  3.560144267167911E-05  3.977446751086239E-03
step =  76, x = 0.10, y =  9.959303710444377E-01  3.559812483750267E-05  4.034030830724905E-03
step =  77, x = 0.11, y =  9.958697906613667E-01  3.548855721496400E-05  4.094720781418475E-03
step =  78, x = 0.11, y =  9.958093686507906E-01  3.528549605046662E-05  4.155345853159118E-03
step =  79, x = 0.11, y =  9.957532775585237E-01  3.521731200546894E-05  4.211505129470967E-03
step =  80, x = 0.11, y =  9.957015302791822E-01  3.540245859207126E-05  4.263067262225916E-03
step =  81, x = 0.11, y =  9.956499761772616E-01  3.553708900800212E-05  4.314486733730623E-03
step =  82, x = 0.11, y =  9.955942703083942E-01  3.554826725629927E-05  4.370181424349724E-03
step =  83, x = 0.11, y =  9.955339795267421E-01  3.545068985316295E-05  4.430569783405028E-03
step =  84, x = 0.12, y =  9.954731275045743E-01  3.523936918841465E-05  4.491633126237597E-03
step =  85, x = 0.12, y =  9.954164816619410E-01  3.512288861529776E-05  4.548395449444079E-03
step =  86, x = 0.12, y =  9.953647615571480E-01  3.530742225366882E-05  4.599931020598615E-03
step =  87, x = 0.12, y =  9.953139786722672E-01  3.546972931456648E-05  4.650551598418523E-03
step =  88, x = 0.12, y =  9.952592402494369E-01  3.549697981384133E-05  4.705262770749581E-03
step =  89, x = 0.12, y =  9.951993799108404E-01  3.541316272099974E-05  4.765206926438887E-03
step =  90, x = 0.12, y =  9.951381479521985E-01  3.520047018006698E-05  4.826651577621764E-03
step =  91, x = 0.13, y =  9.950808536919939E-01  3.503285235046840E-05  4.884113455655860E-03
step =  92, x = 0.13, y =  9.950290147248372E-01  3.520525531161092E-05  4.935780019851532E-03
step =  93, x = 0.13, y =  9.949789400992198E-01  3.539865292172178E-05  4.985661247858748E-03
step =  94, x = 0.13, y =  9.949252488913218E-01  3.544398923833282E-05  5.039307119440120E-03
step =  95, x = 0.13, y =  9.948659738633499E-01  3.537521344304393E-05  5.098650923207439E-03
step =  96, x = 0.13, y =  9.948044427080823E-01  3.516808467900306E-05  5.160389207239059E-03
step =  97, x = 0.13, y =  9.947464208727073E-01  3.495042304641202E-05  5.218628704246738E-03
step =  98, x = 0.14, y =  9.946943035000239E-01  3.509544043021398E-05  5.270601059546320E-03
step =  99, x = 0.14, y =  9.946448450610503E-01  3.532295116347585E-05  5.319831987786560E-03
step = 100, x = 0.14, y =  9.945922630115911E-01  3.538903638121173E-05  5.372347952028064E-03
step = 101, x = 0.14, y =  9.945337357004863E-01  3.533615172987055E-05  5.430928147784162E-03
step = 102, x = 0.14, y =  9.944720186186206E-01  3.514088270705738E-05  5.492840498672751E-03
step = 103, x = 0.14, y =  9.944132120473453E-01  3.487880522954445E-05  5.551909147425513E-03
step = 104, x = 0.15, y =  9.943606487986771E-01  3.497816880766110E-05  5.604373032515615E-03
step = 105, x = 0.15, y =  9.943116847548472E-01  3.524151421333193E-05  5.653073730939908E-03
step = 106, x = 0.15, y =  9.942602487142803E-01  3.533183955591888E-05  5.704419446164214E-03
step = 107, x = 0.15, y =  9.942026307212239E-01  3.529538694921954E-05  5.762073891827323E-03
step = 108, x = 0.15, y =  9.941408739180639E-01  3.511706214598645E-05  5.824009019790605E-03
step = 109, x = 0.15, y =  9.940812563165254E-01  3.482058632086716E-05  5.883923097154175E-03
step = 110, x = 0.15, y =  9.940280795870933E-01  3.485494473848015E-05  5.937065468168695E-03
step = 111, x = 0.16, y =  9.939794589113629E-01  3.515303867895427E-05  5.985388049958588E-03
step = 112, x = 0.16, y =  9.939291720617283E-01  3.527204384121047E-05  6.035555894430882E-03
step = 113, x = 0.16, y =  9.938726148050778E-01  3.525244142199358E-05  6.092132753500587E-03
step = 114, x = 0.16, y =  9.938109962889912E-01  3.509460657305024E-05  6.153909104436155E-03
step = 115, x = 0.16, y =  9.937505819436896E-01  3.477716511933332E-05  6.214640891191415E-03
step = 116, x = 0.16, y =  9.936966333930957E-01  3.472928246613550E-05  6.268637324438596E-03
step = 117, x = 0.16, y =  9.936481659686349E-01  3.505559021851642E-05  6.316778441146902E-03
step = 118, x = 0.17, y =  9.935989935906218E-01  3.520898919723560E-05  6.365797420181344E-03
step = 119, x = 0.17, y =  9.935436423240611E-01  3.520699815586820E-05  6.421150677783330E-03
step = 120, x = 0.17, y =  9.934823779526777E-01  3.507196714352131E-05  6.482550080179109E-03
step = 121, x = 0.17, y =  9.934212266743204E-01  3.474916163930484E-05  6.544024164040593E-03
step = 122, x = 0.17, y =  9.933722385885349E-01  3.501982099009677E-05  6.592741590475352E-03
step = 123, x = 0.17, y =  9.933232777095082E-01  3.516786815322597E-05  6.641554422338861E-03
step = 124, x = 0.17, y =  9.932676964870939E-01  3.516011910274914E-05  6.697143393803699E-03
step = 125, x = 0.18, y =  9.932060970328589E-01  3.501307920116133E-05  6.758889887940254E-03
step = 126, x = 0.18, y =  9.931449879260213E-01  3.466284745614723E-05  6.820349226522756E-03
step = 127, x = 0.18, y =  9.930967615774607E-01  3.497444630059060E-05  6.868263976238881E-03
step = 128, x = 0.18, y =  9.930485627078026E-01  3.513064809261551E-05  6.916306644105000E-03
step = 129, x = 0.18, y =  9.929929627166688E-01  3.512128107650050E-05  6.971916002254972E-03
step = 130, x = 0.18, y =  9.929307235194662E-01  3.496409368074043E-05  7.034312386853291E-03
step = 131, x = 0.18, y =  9.928691051910560E-01  3.455908763103702E-05  7.096335721313257E-03
step = 132, x = 0.19, y =  9.928219509876504E-01  3.493387688112425E-05  7.143115135468775E-03
step = 133, x = 0.19, y =  9.927748249881387E-01  3.509849071459688E-05  7.190076521146927E-03
step = 134, x = 0.19, y =  9.927190553319936E-01  3.508622993130049E-05  7.245858438075395E-03
step = 135, x = 0.19, y =  9.926557194044610E-01  3.491375246615122E-05  7.309366843073158E-03
step = 136, x = 0.19, y =  9.925998859172012E-01  3.485544023115724E-05  7.365258642567893E-03
step = 137, x = 0.19, y =  9.925451387686994E-01  3.482568409475036E-05  7.420035547205990E-03
step = 138, x = 0.19, y =  9.924916093191400E-01  3.484441980618173E-05  7.473546261053987E-03
step = 139, x = 0.20, y =  9.924384533645507E-01  3.487879386515195E-05  7.526667841584320E-03
step = 140, x = 0.20, y =  9.923844786483885E-01  3.488673717602061E-05  7.580634614435643E-03
step = 141, x = 0.20, y =  9.923292962004538E-01  3.485581635217449E-05  7.635847983194157E-03
step = 142, x = 0.20, y =  9.922737065524962E-01  3.480052059611610E-05  7.691492926907809E-03
step = 143, x = 0.20, y =  9.922189592952060E-01  3.476379786171790E-05  7.746276906932441E-03
step = 144, x = 0.20, y =  9.921655362860383E-01  3.477929372948430E-05  7.799684420232289E-03
step = 145, x = 0.21, y =  9.921126652353439E-01  3.481772619786434E-05  7.852517038458301E-03
step = 146, x = 0.21, y =  9.920590473503917E-01  3.483150953498505E-05  7.906121140073363E-03
step = 147, x = 0.21, y =  9.920041161715911E-01  3.480410534246346E-05  7.961079723066481E-03
step = 148, x = 0.21, y =  9.919485933675829E-01  3.474701325792500E-05  8.016659619159204E-03
step = 149, x = 0.21, y =  9.918938264534376E-01  3.470286357211094E-05  8.071470682990306E-03
step = 150, x = 0.21, y =  9.918404818929170E-01  3.471386501332899E-05  8.124804242069759E-03
step = 151, x = 0.21, y =  9.917878805992403E-01  3.475596635664261E-05  8.177363434403170E-03
step = 152, x = 0.22, y =  9.917346308708023E-01  3.477597856819959E-05  8.230593150629639E-03
step = 153, x = 0.22, y =  9.916799776119949E-01  3.475277088415048E-05  8.285269617121090E-03
step = 154, x = 0.22, y =  9.916245373224253E-01  3.469472644884107E-05  8.340767951126000E-03
step = 155, x = 0.22, y =  9.915697388273240E-01  3.464306504507004E-05  8.395618107631050E-03
step = 156, x = 0.22, y =  9.915164435932471E-01  3.464823680203185E-05  8.448908169950992E-03
step = 157, x = 0.22, y =  9.914640928880929E-01  3.469344470530328E-05  8.501213667201935E-03
step = 158, x = 0.22, y =  9.914112196439854E-01  3.472003967329617E-05  8.554060316341506E-03
step = 159, x = 0.23, y =  9.913568718894150E-01  3.470169099534368E-05  8.608426419589798E-03
step = 160, x = 0.23, y =  9.913015339356319E-01  3.464361329710455E-05  8.663822451071147E-03
step = 161, x = 0.23, y =  9.912466952581981E-01  3.458458732855465E-05  8.718720154473546E-03
step = 162, x = 0.23, y =  9.911934195208377E-01  3.458255092543074E-05  8.771997928237057E-03
step = 163, x = 0.23, y =  9.911412956576814E-01  3.463008066901429E-05  8.824074261649854E-03
step = 164, x = 0.23, y =  9.910888038124461E-01  3.466357332596254E-05  8.876532614228154E-03
step = 165, x = 0.23, y =  9.910347900493510E-01  3.465074062976922E-05  8.930559210019475E-03
step = 166, x = 0.24, y =  9.909795788113048E-01  3.459361473405337E-05  8.985827573961372E-03
step = 167, x = 0.24, y =  9.909246951353204E-01  3.452762324986749E-05  9.040777241429973E-03
step = 168, x = 0.24, y =  9.908714083977792E-01  3.451698944393096E-05  9.094074612777199E-03
step = 169, x = 0.24, y =  9.908194820392900E-01  3.456575881417862E-05  9.145952201896127E-03
step = 170, x = 0.24, y =  9.907673728792644E-01  3.460642589759598E-05  9.198020694838377E-03
step = 171, x = 0.24, y =  9.907137231169023E-01  3.459979551962777E-05  9.251677087578415E-03
step = 172, x = 0.24, y =  9.906586684130295E-01  3.454468266529146E-05  9.306786904305555E-03
step = 173, x = 0.25, y =  9.906037390078338E-01  3.447239149808527E-05  9.361788600668474E-03
step = 174, x = 0.25, y =  9.905504094851546E-01  3.445177746662894E-05  9.415138737379126E-03
step = 175, x = 0.25, y =  9.904986471941342E-01  3.450042708466307E-05  9.466852378781587E-03
step = 176, x = 0.25, y =  9.904469171293200E-01  3.454846806649680E-05  9.518534402613981E-03
step = 177, x = 0.25, y =  9.903936606520903E-01  3.454871618300398E-05  9.571790631727115E-03
step = 178, x = 0.25, y =  9.903387965909344E-01  3.449668234608097E-05  9.626706726719945E-03
step = 179, x = 0.26, y =  9.902838260545459E-01  3.441902267319150E-05  9.681754922781342E-03
step = 180, x = 0.26, y =  9.902304230731229E-01  3.438720153781506E-05  9.735189725339708E-03
step = 181, x = 0.26, y =  9.901787873165800E-01  3.443406124238479E-05  9.786778622178052E-03
step = 182, x = 0.26, y =  9.901274272808512E-01  3.448956737937893E-05  9.838083151769915E-03
step = 183, x = 0.26, y =  9.900745916732023E-01  3.449736209943361E-05  9.890910964698820E-03
step = 184, x = 0.26, y =  9.900199544278533E-01  3.444938791913851E-05  9.945596184228205E-03
step = 185, x = 0.26, y =  9.899649539113183E-01  3.436752504260843E-05  1.000067856363965E-02
step = 186, x = 0.27, y =  9.899114509497128E-01  3.432360347250950E-05  1.005422544681526E-02
step = 187, x = 0.27, y =  9.898599020513472E-01  3.436675402368062E-05  1.010573119462965E-02
step = 188, x = 0.27, y =  9.898088964609869E-01  3.442964189133031E-05  1.015667389712229E-02
step = 189, x = 0.27, y =  9.897565045268731E-01  3.444558827095846E-05  1.020904988485644E-02
step = 190, x = 0.27, y =  9.897021336939672E-01  3.440262091313446E-05  1.026346368512024E-02
step = 191, x = 0.27, y =  9.896471205134638E-01  3.431790651776149E-05  1.031856158001902E-02
step = 192, x = 0.27, y =  9.895934942561309E-01  3.426133380797698E-05  1.037224441006179E-02
step = 193, x = 0.28, y =  9.895419898347375E-01  3.429857769872335E-05  1.042371158756442E-02
step = 194, x = 0.28, y =  9.894913170052027E-01  3.436856452785918E-05  1.047431443027015E-02
step = 195, x = 0.28, y =  9.894393877569793E-01  3.439326297774563E-05  1.052621898004367E-02
step = 196, x = 0.28, y =  9.893853251594878E-01  3.435619182019548E-05  1.058031864869266E-02
step = 197, x = 0.28, y =  9.893303230637335E-01  3.427011060246495E-05  1.063540682566474E-02
step = 198, x = 0.28, y =  9.892765544212725E-01  3.420075656293940E-05  1.068924482216527E-02
step = 199, x = 0.28, y =  9.892250501651890E-01  3.422966657007450E-05  1.074072016824165E-02
step = 200, x = 0.29, y =  9.891746821307823E-01  3.430620844880151E-05  1.079101166076969E-02
step = 201, x = 0.29, y =  9.891232298041785E-01  3.434025535987359E-05  1.084242994046243E-02
step = 202, x = 0.29, y =  9.890695185676761E-01  3.430990629828581E-05  1.089617152602645E-02
step = 203, x = 0.29, y =  9.890145578528799E-01  3.422401536164006E-05  1.095121813175922E-02
step = 204, x = 0.29, y =  9.889606330030102E-01  3.414222772350323E-05  1.100522476926715E-02
step = 205, x = 0.29, y =  9.889090836024402E-01  3.416023122398755E-05  1.105675616633666E-02
step = 206, x = 0.29, y =  9.888589860952506E-01  3.424245104221450E-05  1.110677145370806E-02
step = 207, x = 0.30, y =  9.888080191751936E-01  3.428643395818919E-05  1.115769439084912E-02
step = 208, x = 0.30, y =  9.887547026563621E-01  3.426357121263429E-05  1.121103377242617E-02
step = 209, x = 0.30, y =  9.886998200902153E-01  3.417943744871156E-05  1.126600047233694E-02
step = 210, x = 0.30, y =  9.886740219082688E-01  3.441229862210223E-05  1.129156579311001E-02
DoPri5: Dormand-Prince method (explicit, order 5(4), embedded)
Number of function evaluations   = 1298
Number of performed steps        = 216
Number of accepted steps         = 210
Number of rejected steps         = 6
y =  9.886740219082688E-01  3.441229862210223E-05  1.129156579311001E-02
h =  1.473422640837133E-03
